TK001,T001,B001,1,750000,2025-10-15 07:00,1
TK002,T001,B001,2,750000,2025-10-15 07:30,0
TK003,T001,B001,3,800000,2025-10-15 08:00,1
TK004,T002,B002,1,320000,2025-10-15 08:15,1
TK005,T002,B002,2,350000,2025-10-15 08:20,1
TK006,T002,B002,3,400000,2025-10-15 08:30,0
TK007,T003,B003,1,380000,2025-10-15 09:00,1
TK008,T003,B003,2,420000,2025-10-15 09:10,1
TK009,T004,B004,1,900000,2025-10-15 09:20,1
TK010,T004,B004,2,850000,2025-10-15 09:30,0
TK011,T005,B005,1,250000,2025-10-15 10:00,1
TK012,T005,B005,2,230000,2025-10-15 10:20,1
TK013,T006,B006,1,870000,2025-10-15 11:00,1
TK014,T006,B006,2,820000,2025-10-15 11:20,0
TK015,T007,B007,1,340000,2025-10-15 12:00,1
TK016,T007,B007,2,310000,2025-10-15 12:15,1
TK017,T008,B008,1,700000,2025-10-15 12:30,0
TK018,T008,B008,2,720000,2025-10-15 12:40,1
TK019,T009,B009,1,360000,2025-10-15 13:00,1
TK020,T009,B009,2,400000,2025-10-15 13:10,1
TK021,T010,B010,1,890000,2025-10-15 14:00,1
TK022,T010,B010,2,900000,2025-10-15 14:20,0
TK023,T011,B011,1,290000,2025-10-15 14:30,1
TK024,T011,B011,2,310000,2025-10-15 14:40,1
TK025,T012,B012,1,780000,2025-10-15 15:00,1
TK026,T012,B012,2,750000,2025-10-15 15:10,0
TK027,T013,B013,1,340000,2025-10-15 15:30,1
TK028,T013,B013,2,320000,2025-10-15 15:40,1
TK029,T014,B014,1,870000,2025-10-15 15:50,1
TK030,T014,B014,2,820000,2025-10-15 16:00,1
TK031,T015,B015,1,300000,2025-10-15 16:10,0
TK032,T015,B015,2,270000,2025-10-15 16:20,1
TK033,T016,B016,1,720000,2025-10-15 16:30,1
TK034,T016,B016,2,700000,2025-10-15 16:40,1
TK035,T017,B017,1,330000,2025-10-15 17:00,1
TK036,T017,B017,2,300000,2025-10-15 17:10,0
TK037,T018,B018,1,870000,2025-10-15 17:30,1
TK038,T018,B018,2,830000,2025-10-15 17:45,1
TK039,T019,B019,1,310000,2025-10-15 18:00,0
TK040,T019,B019,2,350000,2025-10-15 18:15,1
TK041,T020,B020,1,770000,2025-10-15 18:30,1
TK042,T020,B020,2,800000,2025-10-15 18:45,0
TK043,T020,B020,3,780000,2025-10-15 18:55,1
TK044,T019,B019,3,390000,2025-10-15 19:10,1
TK045,T017,B017,3,310000,2025-10-15 19:30,1
TK046,T015,B015,3,260000,2025-10-15 19:45,0
TK047,T013,B013,3,300000,2025-10-15 20:00,1
TK048,T009,B009,3,350000,2025-10-15 20:10,1
TK049,T005,B005,3,280000,2025-10-15 20:20,1
TK050,T001,B001,4,770000,2025-10-15 20:30,1
TK051,T002,B002,4,400000,2025-10-15 20:45,0
TK052,T004,B004,3,850000,2025-10-15 21:00,1
TK053,T006,B006,3,860000,2025-10-15 21:15,1
TK054,T008,B008,3,700000,2025-10-15 21:30,0
TK055,T010,B010,3,890000,2025-10-15 21:45,1
TK056,T011,B011,3,290000,2025-10-15 22:00,1
TK057,T012,B012,3,740000,2025-10-15 22:10,1
TK058,T014,B014,3,850000,2025-10-15 22:20,1
TK059,T016,B016,3,700000,2025-10-15 22:30,1
TK060,T018,B018,3,850000,2025-10-15 22:40,0
